Keyword,Lingua,Ext,Localcode,Vol.,URL,Priorita,Tags,Note
wicked question,it,.it,,20,https://liberating.it/structures/wicked-questions/,alta,struttura,Pos 3
wicked questions liberating structures,it,.it,,10,https://liberating.it/structures/wicked-questions/,media,struttura,Long-tail
conversation cafe liberating structures,it,.it,,10,https://liberating.it/structures/conversation-cafe/,media,struttura,Opp 88
conversation cafe,it,.it,,,https://liberating.it/structures/conversation-cafe/,media,struttura,Nome base
discovery and action dialogue,it,.it,,10,https://liberating.it/structures/discovery-action-dialogue-dad/,media,struttura,Opp 64
discovery action dialogue,it,.it,,,https://liberating.it/structures/discovery-action-dialogue-dad/,media,struttura,Variante nome
9 whys liberating structures,it,.it,,10,https://liberating.it/structures/9-whys/,media,struttura,Opp 88
5 perche,it,.it,,,https://liberating.it/structures/9-whys/,media,struttura,"Vol 210 IT, pos 101"
min specs liberating structures,it,.it,,10,https://liberating.it/structures/min-specs/,media,struttura,Opp 89
heard seen respected,it,.it,,10,https://liberating.it/structures/heard-seen-respected-hsr/,media,struttura,Pos 5
fishbowl liberating structures,it,.it,,10,https://liberating.it/structures/user-experience-fishbowl/,media,struttura,Opp 89
panarchy,it,.it,,20,https://liberating.it/structures/panarchy/,media,struttura,Pos 9
purpose to practice,it,.it,,,https://liberating.it/structures/purpose-to-practice-p2p/,media,struttura,Scheda P2P
1-2-4-all per workshop aziendali,it,.it,,,https://liberating.it/structures/purpose-to-practice-p2p/,media,struttura,Long-tail IT
agreement certainty matrix,it,.it,,,https://liberating.it/structures/agreement-certainty-matrix/,bassa,struttura,Scheda nuova
wise crowds,it,.it,,,https://liberating.it/structures/wise-crowds/,bassa,struttura,Scheda
simple ethnography,it,.it,,,https://liberating.it/structures/simple-ethnography/,bassa,struttura,Scheda
appreciative interviews,it,.it,,,https://liberating.it/structures/appreciative-interviews-ai/,bassa,struttura,Scheda
integrated autonomy,it,.it,,,https://liberating.it/structures/integrated-autonomy/,bassa,struttura,Scheda
impromptu networking,it,.it,,,https://liberating.it/structures/impromptu-networking/,bassa,struttura,Scheda
improv prototyping,it,.it,,,https://liberating.it/structures/improv-prototyping/,bassa,struttura,Scheda
facilitazione,it,.it,,,https://liberating.it/,alta,gap-it,"Vol 1600, pos 101"
tecniche di facilitazione,it,.it,,,https://liberating.it/,alta,gap-it,Opp 65 ContentGap AI
facilitazione workshop,it,.it,,,https://liberating.it/,media,gap-it,Intent pratico
facilitazione riunioni,it,.it,,,https://liberating.it/,alta,gap-it,Intent manager
facilitazione remota,it,.it,,,https://liberating.it/,media,gap-it,Competitor agilemadeinitaly
world cafe,it,.it,,,https://liberating.it/,alta,gap-it,"Vol 480, competitor loci"
dinamiche di gruppo,it,.it,,,https://liberating.it/,media,gap-it,"Vol 480, pos 101"
riunioni,it,.it,,,https://liberating.it/,media,gap-it,Vol 210
riunioni efficaci,it,.it,,,https://liberating.it/,alta,gap-it,Intent manager
intelligenza collettiva,it,.it,,,https://liberating.it/,media,gap-it,Vol 390
partecipazione attiva,it,.it,,,https://liberating.it/,media,gap-it,Vol 390
apprendimento esperienziale,it,.it,,,https://liberating.it/,media,gap-it,Vol 480
crowd sourcing,it,.it,,,https://liberating.it/,media,gap-it,Vol 1300
triz,it,.it,,,https://liberating.it/,media,gap-it,"Vol 480, competitor agileway"
retrospettiva agile,it,.it,,,https://liberating.it/,media,gap-it,"Vol 70, opp 71"
retrospettiva team,it,.it,,,https://liberating.it/,media,gap-it,Use case agile
design thinking workshop,it,.it,,,https://liberating.it/,bassa,gap-it,Adjacente LS
workshop facilitazione,it,.it,,,https://liberating.it/,media,gap-it,Intent IT
metodi partecipativi,it,.it,,,https://liberating.it/,media,gap-it,Cluster tematico
riunioni partecipative,it,.it,,,https://liberating.it/,media,gap-it,Intent IT
liberating structures difficoltà,it,.it,,,https://liberating.it/difficolta/intermedia/,media,hub,Hub difficoltà
liberating structures facili,it,.it,,,https://liberating.it/difficolta/facile/,media,hub,Hub facile
liberating structures per team,it,.it,,,https://liberating.it/complessita/team-rodati/,media,hub,Hub complessità
