Keyword,POS,P.M.,Var,Lingua,Ext,Localcode,Vol.,Traffico,Cambio URL,URL,Andamento,SERP Features,SEO,CPC,Concorrenza,Keyword Difficulty,Keyword Opportunity,Tags
ecocycle liberating structures,3,3.07,0,it,.it,,10,1,0,https://liberating.it/structures/ecocycle-planning/,"2026-06-10 : 3
2026-06-12 : 3","Foto Carousel,Video Carousels",,0,0,26,84,
fishbowl liberating structures,3,3.78,0,it,.it,,10,1,1,https://liberating.it/structures/user-experience-fishbowl/,"2026-06-10 : 2
2026-06-12 : 3","Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,16,89,
liberating structure triz,3,2.2,0,it,.it,,10,1,0,https://liberating.it/structures/triz/,"2026-06-10 : 2
2026-06-13 : 3",Video Carousels,,0,0,20,87,
shift and share liberating structures,3,2.38,-1,it,.it,,10,1,0,https://liberating.it/structures/shift-share/,"2026-06-10 : 3
2026-06-12 : 2","Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,17,85,
shift and share,10,21.42,-1,it,.it,,30,1,0,https://liberating.it/structures/shift-share/,"2026-06-10 : 10
2026-06-13 : 9","Google Knowledge Panel,Box Domande frequenti",,0,0,43,74,
1 2 4 method,4,4.14,-1,it,.it,,10,1,0,https://liberating.it/structures/1-2-4-all/,"2026-06-09 : 4
2026-06-11 : 3","Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,15,91,
9 whys liberating structures,4,2.21,0,it,.it,,10,1,1,https://liberating.it/structures/9-whys/,"2026-06-10 : 3
2026-06-13 : 4","Video Carousels,Box Domande frequenti",,0,0,14,88,
liberating structures 9 whys,4,3.28,0,it,.it,,10,1,1,https://liberating.it/structures/9-whys/,"2026-06-10 : 4
2026-06-12 : 4","Video Carousels,Box Domande frequenti",,0,0,14,90,
liberating structures ecocycle,4,3.21,-2,it,.it,,10,1,1,https://liberating.it/structures/ecocycle-planning/,"2026-06-10 : 4
2026-06-12 : 2","Foto Carousel,Video Carousels",,0,0,27,79,
liberating structures what so what now what,4,11.66,0,it,.it,,10,1,0,https://liberating.it/structures/w3-what-so-what-now-what/,"2026-06-09 : 6
2026-06-11 : 4","Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,19,87,
troika consulting,4,11.33,0,it,.it,,10,1,0,https://liberating.it/structures/troika-consulting/,"2026-06-09 : 4
2026-06-11 : 4","Primo risultato visibile dopo uno scroll,Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,27,40,
heard seen respected,5,6.21,1,it,.it,,10,0,0,https://liberating.it/structures/heard-seen-respected-hsr/,"2026-06-08 : 7
2026-06-10 : 7
2026-06-12 : 6",Video Carousels,,0,0,23,74,
liberating structures wicked questions,5,4.53,0,it,.it,,10,0,0,https://liberating.it/structures/wicked-questions/,"2026-06-08 : 5
2026-06-10 : 5
2026-06-12 : 5","Foto Carousel,Video Carousels",,0,0,16,88,
min specs liberating structures,5,3.64,-2,it,.it,,10,0,1,https://liberating.it/structures/min-specs/,"2026-06-09 : 3
2026-06-11 : 3","Foto Carousel,Video Carousels",,0,0,15,89,
panarchy,9,35.92,50,it,.it,,20,1,0,https://liberating.it/structures/panarchy/,"2026-06-09 : 9
2026-06-11 : 101",Foto Carousel,,0,0.21,33,36,
wicked questions liberating structures,5,4.21,-1,it,.it,,10,0,0,https://liberating.it/structures/wicked-questions/,"2026-06-09 : 4
2026-06-11 : 4","Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,16,87,
troika consulting liberating structures,6,3.5,0,it,.it,,10,0,1,https://liberating.it/structures/troika-consulting/,"2026-06-10 : 5
2026-06-12 : 6","Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,27,83,
w³,7,6.92,-1,it,.it,,10,0,0,https://liberating.it/structures/w3-what-so-what-now-what/,"2026-06-10 : 6
2026-06-13 : 6",Foto Carousel,,0,0,33,63,
discovery dialogue,10,16.5,-1,it,.it,,10,0,0,https://liberating.it/structures/discovery-action-dialogue-dad/,"2026-06-10 : 9
2026-06-13 : 9",Box Domande frequenti,,0,0,61,60,
1-2-4 all,1,1.84,0,it,.it,,,0,1,https://liberating.it/structures/1-2-4-all/,"2026-06-10 : 2
2026-06-12 : 1","Video Carousels,Box Domande frequenti",,,,31,80,
1-2-4-all,1,1.85,0,it,.it,,,0,0,https://liberating.it/structures/1-2-4-all/,"2026-06-08 : 2
2026-06-10 : 2
2026-06-12 : 1","Video Carousels,Box Domande frequenti",60.32,,,31,40,
1-2-4-all per workshop aziendali,12,11.14,50,it,.it,,,0,0,https://liberating.it/structures/purpose-to-practice-p2p/,"2026-06-08 : 3
2026-06-10 : 3
2026-06-12 : 101",Box Domande frequenti,,,,26,85,
124 all,51,101,0,it,.it,,20,0,0,,"2026-06-10 : 101
2026-06-12 : 101","Foto Carousel,Box Domande frequenti",,0,0,50,77,
15% Solutions,2,1.23,0,it,.it,,,0,0,https://liberating.it/structures/15-solutions/,"2026-06-10 : 1
2026-06-12 : 2",,,,,33,48,
25/10 Crowd Sourcing,2,2.21,0,it,.it,,,0,0,https://liberating.it/structures/25-10-crowd-sourcing/,"2026-06-10 : 2
2026-06-12 : 2","Video Carousels,Box Domande frequenti",,,,25,56,
25/10 crowdsourcing,2,2.14,0,it,.it,,,0,0,https://liberating.it/structures/25-10-crowd-sourcing/,"2026-06-10 : 2
2026-06-12 : 2","Video Carousels,Box Domande frequenti",,,,29,68,
25/10 liberating structures,2,2.64,0,it,.it,,,0,1,https://liberating.it/structures/25-10-crowd-sourcing/,"2026-06-09 : 2
2026-06-11 : 2","Video Carousels,Box Domande frequenti",,,,14,89,
5 perche,51,101,0,it,.it,,210,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0,0,21,89,
9 why,51,101,0,it,.it,,20,0,0,,"2026-06-10 : 101
2026-06-12 : 101","Foto Carousel,Box Domande frequenti",,0,0,45,81,
9 Whys,4,3.26,0,it,.it,,,0,0,https://liberating.it/structures/9-whys/,"2026-06-08 : 3
2026-06-10 : 4
2026-06-12 : 4","Foto Carousel,Video Carousels",80.32,,,14,71,
action planning,51,101,0,it,.it,,40,0,0,,"2026-06-09 : 101
2026-06-11 : 101
2026-06-13 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Foto Carousel,Box Domande frequenti",,0,0.02,28,53,
Agreement/Certainty Matrix,51,12.57,-50,it,.it,,,0,0,,"2026-06-09 : 6
2026-06-11 : 7","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,,,31,83,
Appreciative Interviews,5,4.26,0,it,.it,,,0,0,https://liberating.it/structures/appreciative-interviews-ai/,"2026-06-10 : 5
2026-06-12 : 5","Video Carousels,Box Domande frequenti",,,,25,55,
appreciative interviews cambio organizzativo,2,1.57,0,it,.it,,,0,1,https://liberating.it/structures/appreciative-interviews-ai/,"2026-06-08 : 2
2026-06-10 : 2
2026-06-12 : 2",Box Domande frequenti,,,,23,84,
apprendimento esperienziale,51,101,0,it,.it,,480,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0.05,0.01,41,38,
apprendimento reciproco,51,101,0,it,.it,,10,0,0,,"2026-06-10 : 101
2026-06-12 : 101","Google Knowledge Panel,Box Domande frequenti",,0,0.13,29,79,
apprendimento tra pari,51,101,0,it,.it,,110,0,0,,"2026-06-09 : 101
2026-06-11 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0,0,32,73,
ascolto attivo,51,101,0,it,.it,,4400,0,0,,"2026-06-07 : 101
2026-06-09 : 101
2026-06-11 : 101","Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0.18,0,45,36,
cambiamento,51,101,0,it,.it,,3600,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,0.19,0.02,44,37,
cambiamento organizzativo,51,101,0,it,.it,,170,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,0.06,0.07,43,40,
certificazione facilitatore liberating structures,39,5.5,-36,it,.it,,,0,1,https://liberating.it/,"2026-06-09 : 3
2026-06-11 : 3","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,,,28,84,
checklist facilitatore liberating structures,4,6.21,0,it,.it,,,0,1,https://liberating.it/difficolta/intermedia/page/2/,"2026-06-09 : 4
2026-06-11 : 4",,,,,23,86,
coaching comportamentale,51,101,0,it,.it,,0,0,0,,"2026-06-10 : 101
2026-06-13 : 101","Video Carousels,Box Domande frequenti",,0,0,38,79,
coesione,51,101,0,it,.it,,3600,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,0,0,33,43,
coinvolgimento attivo,51,101,0,it,.it,,0,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,0,0,12,81,
collaborazione,51,101,0,it,.it,,6600,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Box Domande frequenti",,1.79,0,48,40,
come facilitare 1-2-4-all in team remoti,2,1.6,-1,it,.it,,,0,1,https://liberating.it/structures/1-2-4-all/,"2026-06-09 : 2
2026-06-09 : 2
2026-06-11 : 1",Box Domande frequenti,,,,18,89,
come gestire resistenza al cambiamento con liberating structures,29,29.26,-3,it,.it,,,0,0,https://liberating.it/,"2026-06-09 : 20
2026-06-11 : 26",Box Domande frequenti,,,,22,84,
come iniziare con le liberating structures,1,1,0,it,.it,,,0,1,https://liberating.it/,"2026-06-09 : 1
2026-06-11 : 1",,,,,13,88,
come usare wicked questions per strategic planning,1,7.93,0,it,.it,,,0,0,https://liberating.it/structures/wicked-questions/,"2026-06-08 : 1
2026-06-10 : 1
2026-06-12 : 1",,,,,21,87,
condivisione,51,101,0,it,.it,,4400,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Box Domande frequenti",,0,0,62,32,
condivisione esperienze,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,23,86,
condivisione innovazioni,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,22,86,
condivisione storie,51,101,0,it,.it,,0,0,0,,"2026-06-10 : 101
2026-06-13 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,0,0,52,75,
configurazione workshop,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,29,84,
connessioni dirette,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,38,66,
connessioni significative,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101
2026-06-13 : 101",Box Domande frequenti,,,,33,76,
consapevolezza collettiva,51,101,0,it,.it,,,0,0,,"2026-06-08 : 101
2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,,,22,72,
consapevolezza condivisa,51,101,0,it,.it,,,0,0,,"2026-06-08 : 101
2026-06-08 : 101
2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,,,20,82,
consulenza tra pari,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101
2026-06-13 : 101",Box Domande frequenti,,,,33,75,
consultazione,51,101,0,it,.it,,1900,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,0,0,46,53,
consultazione collettiva,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,17,87,
Conversation Café,2,2.64,0,it,.it,,,0,0,https://liberating.it/structures/conversation-cafe/,"2026-06-10 : 2
2026-06-13 : 2","Foto Carousel,Video Carousels",,,,26,52,
corso base liberating structures online italiano,44,7.21,-40,it,.it,,,0,1,https://liberating.it/structures/tiny-demons/,"2026-06-08 : 4
2026-06-10 : 4
2026-06-12 : 4",Box Domande frequenti,,,,57,72,
Critical Uncertainties,3,2.92,0,it,.it,,,0,0,https://liberating.it/structures/critical-uncertainties/,"2026-06-10 : 2
2026-06-12 : 3","Primo risultato visibile dopo uno scroll,Foto Carousel,Box Domande frequenti",,,,31,37,
crowd consulting,51,101,0,it,.it,,10,0,0,,"2026-06-08 : 101
2026-06-10 : 101
2026-06-12 : 101",,,0,0,22,79,
crowd sourcing,51,101,0,it,.it,,1300,0,0,,"2026-06-07 : 101
2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Box Domande frequenti,Mispell",,2.93,0,48,75,
crowd-sourcing,51,95.43,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101","Google Knowledge Panel,Box Domande frequenti,Mispell",,,,36,80,
cynefin,51,101,0,it,.it,,260,0,0,,"2026-06-07 : 101
2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0,0,36,41,
debriefing,51,101,0,it,.it,,6600,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0,0,47,30,
decision making,51,101,0,it,.it,,2900,0,0,,"2026-06-10 : 101
2026-06-12 : 101","Google Knowledge Panel,Box Domande frequenti",,0.14,0.08,60,51,
decisioni collettive,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,38,62,
decisioni importanti,51,101,0,it,.it,,0,0,0,,"2026-06-07 : 101
2026-06-09 : 101
2026-06-11 : 101","Video Carousels,Box Domande frequenti",,0,0,41,65,
Design StoryBoards,51,94.07,0,it,.it,,,0,0,,"2026-06-10 : 4
2026-06-13 : 101","Foto Carousel,Video Carousels",,,,24,81,
dialogo costruttivo,51,101,0,it,.it,,50,0,0,,"2026-06-10 : 101
2026-06-13 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,0,0.08,31,52,
dialogo strutturato,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,35,44,
dinamiche di gruppo,51,101,0,it,.it,,480,0,0,,"2026-06-08 : 101
2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0,0.04,30,55,
Discovery &amp; Action Dialogue,4,3.6,0,it,.it,,,0,0,https://liberating.it/structures/discovery-action-dialogue-dad/,"2026-06-09 : 3
2026-06-11 : 4",Video Carousels,,,,6,89,
distruzione creativa,51,101,0,it,.it,,210,0,0,,"2026-06-08 : 101
2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Box Domande frequenti",,0,0.02,39,51,
documenti collaborativi,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101","Video Carousels,Box Domande frequenti",,,,38,80,
domande paradossali,51,101,0,it,.it,,10,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,0,0,36,76,
Drawing Together,6,60.42,50,it,.it,,,0,0,https://liberating.it/structures/drawing-together/,"2026-06-10 : 6
2026-06-12 : 101","Foto Carousel,Video Carousels",,,,20,79,
early adoption,51,101,0,it,.it,,1600,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Video Carousels,Box Domande frequenti,Mispell",,0,0,40,78,
ecocycle,51,38.57,0,it,.it,,210,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Foto Carousel,Video Carousels",,2.61,0.1,21,54,
Ecocycle Planning,3,3.5,0,it,.it,,,0,0,https://liberating.it/structures/ecocycle-planning/,"2026-06-08 : 4
2026-06-10 : 3
2026-06-12 : 3","Foto Carousel,Video Carousels",,,,32,48,
ecocycle planning template,4,4.14,0,it,.it,,,0,0,https://liberating.it/structures/ecocycle-planning/,"2026-06-10 : 4
2026-06-13 : 4",Foto Carousel,,,,27,82,
ecocycle template,2,2.85,0,it,.it,,,0,0,https://liberating.it/structures/ecocycle-planning/,"2026-06-07 : 2
2026-06-09 : 2
2026-06-11 : 2",Foto Carousel,,,,21,81,
eliminazione ostacoli,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,34,81,
eliminazione sprechi,51,101,0,it,.it,,,0,0,,"2026-06-07 : 101
2026-06-09 : 101
2026-06-11 : 101","Video Carousels,Box Domande frequenti",,,,9,93,
facilitare ecocycle planning prima volta,2,7.93,0,it,.it,,,0,0,https://liberating.it/structures/ecocycle-planning/,"2026-06-09 : 2
2026-06-11 : 2",,,,,16,89,
facilitare shift and share team multiculturali,24,84.14,50,it,.it,,,0,0,https://liberating.it/structures/shift-share/,"2026-06-09 : 101
2026-06-11 : 101",Box Domande frequenti,,,,24,86,
facilitazione,51,101,0,it,.it,,1600,0,0,,"2026-06-10 : 101
2026-06-13 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,0,0,27,47,
facilitazione dialogica,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,9,92,
facilitazione remota,51,101,0,it,.it,,,0,0,,"2026-06-07 : 101
2026-06-09 : 101
2026-06-11 : 101",Box Domande frequenti,,,,29,78,
facilitazione strategica,51,101,0,it,.it,,,0,0,,"2026-06-08 : 101
2026-06-08 : 101
2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,16,78,
facilitazione strutturata,51,93.06,0,it,.it,,,0,0,,"2026-06-08 : 101
2026-06-10 : 101
2026-06-12 : 101
2026-06-14 : 101",Box Domande frequenti,,,,15,89,
facilitazione visuale,51,101,0,it,.it,,10,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Foto Carousel,Box Domande frequenti",,0,0,28,48,
feedback costruttivo,51,101,0,it,.it,,40,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Foto Carousel,Video Carousels,Box Domande frequenti",,0,0.01,25,62,
fiducia condivisa,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101","Video Carousels,Box Domande frequenti",,,,36,82,
formazione interattiva,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,29,70,
Generate Relationship STAR,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101
2026-06-15 : 101","Video Carousels,Box Domande frequenti",,,,21,88,
generazione idee,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-13 : 101","Video Carousels,Box Domande frequenti",,,,22,86,
gestione cambiamento,51,101,0,it,.it,,10,0,0,,"2026-06-08 : 101
2026-06-10 : 101
2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,0,0,44,76,
gestione complessità,51,101,0,it,.it,,,0,0,,"2026-06-08 : 101
2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,,,19,85,
gestione gruppi,51,101,0,it,.it,,20,0,0,,"2026-06-10 : 101
2026-06-13 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,0,0.6,50,75,
gestione incertezza,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Box Domande frequenti",,,,38,79,
gestione silos organizzativi,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101",Box Domande frequenti,,,,25,86,
gestione team,51,101,0,it,.it,,50,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,3.92,0.1,51,70,
gruppi di lavoro,51,101,0,it,.it,,140,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0,0.01,41,68,
gruppi piccoli,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101
2026-06-13 : 101",Box Domande frequenti,,,,30,78,
guida completa liberating structures,3,4.85,2,it,.it,,,0,1,https://liberating.it/,"2026-06-08 : 5
2026-06-10 : 5
2026-06-12 : 5",,,,,13,89,
"Heard, Seen, Respected",6,6.06,0,it,.it,,,0,0,https://liberating.it/structures/heard-seen-respected-hsr/,"2026-06-09 : 7
2026-06-11 : 6",Video Carousels,,,,17,63,
Helping Heuristics,5,3.64,-1,it,.it,,,0,0,https://liberating.it/structures/helping-heuristics/,"2026-06-10 : 4
2026-06-12 : 4","Foto Carousel,Box Domande frequenti",,,,34,42,
hsr,51,101,0,it,.it,,4400,0,0,,"2026-06-10 : 101
2026-06-12 : 101","Google Knowledge Panel,Box Domande frequenti,Local Pack di Google",,0.84,0,39,56,
idee innovative,51,101,0,it,.it,,480,0,0,,"2026-06-09 : 101
2026-06-11 : 101","AI Overview,Foto Carousel,Box Domande frequenti",,0.2,0.12,34,73,
Impromptu Networking,1,1,0,it,.it,,,0,0,https://liberating.it/structures/impromptu-networking/,"2026-06-10 : 1
2026-06-12 : 1","Video Carousels,Box Domande frequenti",80.32,,,31,38,
Improv Prototyping,2,2.21,0,it,.it,,,0,0,https://liberating.it/structures/improv-prototyping/,"2026-06-10 : 2
2026-06-12 : 2","Foto Carousel,Video Carousels",,,,24,56,
improvvisazione costruttiva,29,82.5,5,it,.it,,,0,0,https://liberating.it/structures/improv-prototyping/,"2026-06-10 : 38
2026-06-12 : 34","Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,,,19,87,
improvvisazione guidata,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101
2026-06-13 : 101","Video Carousels,Box Domande frequenti",,,,20,71,
inclusione,51,101,0,it,.it,,1900,0,0,,"2026-06-10 : 101
2026-06-13 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,0,0,50,30,
inclusività reale,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101
2026-06-13 : 101","Box Domande frequenti,Mispell",,,,19,84,
innovazione,51,101,0,it,.it,,4400,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Video Carousels,Box Domande frequenti",,0.92,0.01,54,51,
innovazione diffusa,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-11 : 101
2026-06-13 : 101",Box Domande frequenti,,,,41,47,
innovazione partecipativa,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,27,74,
innovazione prodotti,51,101,0,it,.it,,170,0,0,,"2026-06-10 : 101
2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Box Domande frequenti",,0,0.01,35,80,
innovazione spontanea,51,101,0,it,.it,,,0,0,,"2026-06-09 : 101
2026-06-09 : 101
2026-06-11 : 101
2026-06-13 : 101",Box Domande frequenti,,,,36,72,
innovazione strutturata,51,101,0,it,.it,,,0,0,,"2026-06-10 : 101
2026-06-12 : 101",Box Domande frequenti,,,,24,81,
Integrated Autonomy,2,2.21,1,it,.it,,,0,0,https://liberating.it/structures/integrated-autonomy/,"2026-06-10 : 3
2026-06-12 : 3","Foto Carousel,Box Domande frequenti",,,,17,72,
intelligenza collettiva,51,101,0,it,.it,,390,0,0,,"2026-06-10 : 101
2026-06-12 : 101","AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0,0.04,42,36,
